epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.33407,4.53733,10.9496,3.3954,0,0,0,0,0.00058,3.93487,0.00032,0,0,0
2,16.5826,5.24428,18.3708,3.48943,0,0,0,0,0.00052,3.80552,0.00028,9.06e-06,9.06e-06,9.06e-06
3,26.3203,5.92373,13.0035,6.47939,0,0,0,0,0.00048,3.56629,0.00027,1.806e-05,1.806e-05,1.806e-05
4,37.3581,5.29642,10.3279,3.69466,0,0,0,0,0.0005,3.30799,0.00028,2.7e-05,2.7e-05,2.7e-05
5,46.342,5.82693,10.475,4.12805,0,0,0,0,0.00045,2.89637,0.00025,3.588e-05,3.588e-05,3.588e-05
6,55.9702,5.44172,14.5035,3.26621,0,0,0,0,0.00036,2.52303,0.0002,4.47001e-05,4.47001e-05,4.47001e-05
7,67.2755,5.28564,10.15,2.20397,0,0,0,0,0.00031,2.18744,0.00017,5.34601e-05,5.34601e-05,5.34601e-05
8,79.2714,4.95243,9.16203,4.65013,0,0,0,0,0.00025,1.93095,0.00014,6.21601e-05,6.21601e-05,6.21601e-05
9,89.2729,0.92456,11.1347,0.77394,0,0,0,0,0.00023,1.70051,0.00012,7.08002e-05,7.08002e-05,7.08002e-05
10,99.9875,5.53492,14.4888,3.9487,0,0,0,0,0.00016,1.51661,8e-05,7.93802e-05,7.93802e-05,7.93802e-05
11,112.127,5.06851,8.44534,2.51591,0,0,0,0,0.00011,1.37386,6e-05,8.79003e-05,8.79003e-05,8.79003e-05
